┌───────────────────┬──────────┬───────────────┐
│      Country      │ Populati │ yearly_change │
├───────────────────┼──────────┼───────────────┤
│ Niger             │ 24346468 │ 3.84 %        │
│ Bahrain           │ 1711057  │ 3.68 %        │
│ Equatorial Guinea │ 1410419  │ 3.47 %        │
│ Uganda            │ 45974931 │ 3.32 %        │
│ Angola            │ 33032075 │ 3.27 %        │
│ DR Congo          │ 90003954 │ 3.19 %        │
│ Burundi           │ 11948454 │ 3.12 %        │
│ Falkland Islands  │ 3497     │ 3.05 %        │
│ Mali              │ 20346106 │ 3.02 %        │
│ Chad              │ 16502877 │ 3.00 %        │
│ Tanzania          │ 60012400 │ 2.98 %        │
│ Gambia            │ 2427782  │ 2.94 %        │
│ Mozambique        │ 31398811 │ 2.93 %        │
│ Zambia            │ 18468257 │ 2.93 %        │
│ Somalia           │ 15965848 │ 2.92 %        │
└───────────────────┴──────────┴───────────────┘
